Instancia,Algoritmo,Seed,Mejor Distancia,Tiempo (s),GAP (%),Mejor Tour,Historial,num_ants,alpha,beta,rho,iterations
berlin52,ACO_tune_2,42,7915.29185682266,3.269785165786743,4.94950751554839,"[23, np.int64(20), np.int64(50), np.int64(16), np.int64(46), np.int64(44), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(38), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(21), np.int64(30), np.int64(42), np.int64(7), np.int64(2), np.int64(29)]","[np.float64(9799.699829996736), np.float64(9544.814611139625), np.float64(9544.814611139625), np.float64(8925.889411234522), np.float64(8868.75249461924), np.float64(8868.75249461924), np.float64(8868.75249461924), np.float64(8515.196905812925), np.float64(8515.196905812925), np.float64(8515.196905812925), np.float64(8515.196905812925), np.float64(8515.196905812925), np.float64(8335.703113985952), np.float64(8335.703113985952), np.float64(8335.703113985952), np.float64(8180.099113818292), np.float64(8180.099113818292), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266), np.float64(7915.29185682266)]",20,1.0,5.0,0.1,50
berlin52,ACO_tune_2,43,7988.447251429574,2.8669729232788086,5.91948092587608,"[44, np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(37), np.int64(38), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(46), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(47), np.int64(26), np.int64(28), np.int64(27), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(12), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22)]","[np.float64(8935.473459476847), np.float64(8898.931799110924), np.float64(8898.931799110924), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8726.895666472137), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8375.736051956383), np.float64(8242.660340938402), np.float64(8242.660340938402), np.float64(8242.660340938402), np.float64(8242.660340938402), np.float64(8189.36243330957), np.float64(8189.36243330957), np.float64(8182.312652282316), np.float64(8182.312652282316), np.float64(8182.312652282316), np.float64(8182.312652282316), np.float64(8182.312652282316), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(8027.364285295101), np.float64(7988.447251429574), np.float64(7988.447251429574)]",20,1.0,5.0,0.1,50
berlin52,ACO_tune_2,44,8110.966691430199,2.8855228424072266,7.543976285205501,"[36, np.int64(35), np.int64(34), np.int64(44), np.int64(46), np.int64(16), np.int64(50), np.int64(20), np.int64(23), np.int64(21), np.int64(31), np.int64(18), np.int64(3), np.int64(17), np.int64(42), np.int64(7), np.int64(2), np.int64(30), np.int64(29), np.int64(38), np.int64(40), np.int64(37), np.int64(48), np.int64(24), np.int64(5), np.int64(15), np.int64(6), np.int64(4), np.int64(25), np.int64(12), np.int64(28), np.int64(27), np.int64(26), np.int64(47), np.int64(13), np.int64(14), np.int64(52), np.int64(11), np.int64(51), np.int64(33), np.int64(43), np.int64(10), np.int64(9), np.int64(8), np.int64(41), np.int64(19), np.int64(45), np.int64(32), np.int64(49), np.int64(1), np.int64(22), np.int64(39)]","[np.float64(8957.742735190726), np.float64(8653.78562368121), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8483.997727862), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8313.802533194588), np.float64(8269.703799430532), np.float64(8269.703799430532), np.float64(8269.703799430532), np.float64(8269.703799430532), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8118.0993436057815), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199), np.float64(8110.966691430199)]",20,1.0,5.0,0.1,50
